Unnamed: 0,Order Size,Order Division,Current Position,Shelves,Division Path,Division Path Cost,Shelf Path,Shelf Path Cost,Total Path,Total Path Cost
17,1,10,10,[16],[10],0,"[1, 2, 4, 8, 16, 8, 4, 2, 1]",10,"[10, 1, 2, 4, 8, 16, 8, 4, 2, 1]",10
91,2,1,1,"[2, 49]",[1],0,"[1, 2, 1, 3, 6, 12, 24, 49, 24, 12, 6, 3, 1]",14,"[1, 1, 2, 1, 3, 6, 12, 24, 49, 24, 12, 6, 3, 1]",14
52,2,14,14,"[28, 30]",[14],0,"[1, 3, 7, 14, 28, 14, 7, 15, 30, 15, 7, 3, 1]",14,"[14, 1, 3, 7, 14, 28, 14, 7, 15, 30, 15, 7, 3, 1]",14
20,2,5,5,"[28, 58]",[5],0,"[1, 3, 7, 14, 28, 14, 29, 58, 29, 14, 7, 3, 1]",14,"[5, 1, 3, 7, 14, 28, 14, 29, 58, 29, 14, 7, 3, 1]",14
24,2,11,11,"[17, 53]",[11],0,"[1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 13, 26, 53, 26, 13, 6, 3, 1]",20,"[11, 1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 13, 26, 53, 26, 13, 6, 3, 1]",20
50,3,12,12,"[2, 21, 55]",[12],0,"[1, 2, 5, 10, 21, 10, 5, 2, 1, 3, 6, 13, 27, 55, 27, 13, 6, 3, 1]",20,"[12, 1, 2, 5, 10, 21, 10, 5, 2, 1, 3, 6, 13, 27, 55, 27, 13, 6, 3, 1]",20
36,2,4,8,"[5, 60]","[8, 4]",10,"[1, 2, 5, 2, 1, 3, 7, 15, 30, 60, 30, 15, 7, 3, 1]",16,"[8, 4, 1, 2, 5, 2, 1, 3, 7, 15, 30, 60, 30, 15, 7, 3, 1]",26
93,3,13,13,"[14, 40, 59]",[13],0,"[1, 3, 7, 14, 7, 3, 1, 2, 5, 10, 20, 40, 20, 10, 5, 2, 1, 3, 7, 14, 29, 59, 29, 14, 7, 3, 1]",28,"[13, 1, 3, 7, 14, 7, 3, 1, 2, 5, 10, 20, 40, 20, 10, 5, 2, 1, 3, 7, 14, 29, 59, 29, 14, 7, 3, 1]",28
53,3,14,14,"[33, 43, 57]",[14],0,"[1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 5, 10, 21, 43, 21, 10, 5, 2, 1, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",30,"[14, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 5, 10, 21, 43, 21, 10, 5, 2, 1, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",30
14,1,3,1,[17],"[1, 3]",20,"[1, 2, 4, 8, 17, 8, 4, 2, 1]",10,"[1, 3, 1, 2, 4, 8, 17, 8, 4, 2, 1]",30
64,1,13,6,[35],"[6, 13]",20,"[1, 2, 4, 8, 17, 35, 17, 8, 4, 2, 1]",12,"[6, 13, 1, 2, 4, 8, 17, 35, 17, 8, 4, 2, 1]",32
32,1,9,4,[44],"[4, 9]",20,"[1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",12,"[4, 9, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",32
